Token;English;Russian;German;Spanish;Czech;Dutch;French;Japanese;Korean;Polish;Portuguese_Brazilian;Turkish;Ukrainian;Chinese;Chinese_Trad;Swedish;Italian;Romanian;Bulgarian;Macedonian;Finnish;Danish;Norwegian;Icelandic;Lithuanian;Hungarian;Slovak;Portuguese_European;Hindi;Thai;Croatian;Georgian;Greek;Serbian;Latvian
lu_part_tent_switch;Change color;Изменить цвет;Farbe ändern;Cambiar color;Změnit barvu;Kleur wijzigen;Changer la couleur;色を変更;색상 변경;Zmień kolor;Alterar cor;Rengi değiştir;Змінити колір;更换颜色;更換顏色;Byt färg;Cambia colore;Schimbă culoarea;Смени цвета;Смени боја;Vaihda väri;Skift farve;Bytt farge;Skipta lit;Keisti spalvą;Színt vált;Zmeniť farbu;Mudar cor;रंग बदलें;เปลี่ยนสี;Promijeni boju;ფერის შეცვლა;Αλλαγή χρώματος;Promeni boju;Mainīt krāsu
lu_part_tent_upgrade;Adds an awning that shelters the deck from the elements\nAllows you to change its style;Добавляет тент, укрывающий от непогоды\nПозволяет менять его вид;Fügt eine Markise hinzu, die vor Wind und Wetter schützt\nErlaubt es, ihr Aussehen zu ändern;Añade un toldo que protege de la intemperie\nPermite cambiar su estilo;Přidává přístřešek chránící před nepřízní počasí\nUmožňuje měnit jeho vzhled;Voegt een luifel toe die beschutting biedt tegen weer en wind\nMaakt het mogelijk de stijl te wijzigen;Ajoute un auvent qui protège des intempéries\nPermet d’en changer le style;風雨をしのぐ天幕を追加します\n外観を変更できます;비바람을 막아 주는 차양을 추가합니다\n모양을 바꿀 수 있습니다;Dodaje zadaszenie chroniące przed niepogodą\nPozwala zmienić jego wygląd;Adiciona um toldo que protege das intempéries\nPermite mudar seu estilo;Hava koşullarından koruyan bir tente ekler\nGörünümünü değiştirmenizi sağlar;Додає тент, що захищає від негоди\nДозволяє змінювати його вигляд;添加一顶可遮风挡雨的遮篷\n可以更换其样式;新增一頂可遮風擋雨的遮篷\n可以更換其樣式;Lägger till en markis som skyddar mot väder och vind\nGör det möjligt att ändra dess utseende;Aggiunge un tendalino che ripara dalle intemperie\nConsente di cambiarne lo stile;Adaugă o copertină care apără de intemperii\nPermite schimbarea aspectului;Добавя навес, който пази от лошо време\nПозволява да променяте вида му;Додава настрешница што штити од невреме\nОвозможува промена на нејзиниот изглед;Lisää säältä suojaavan markiisin\nMahdollistaa sen ulkoasun vaihtamisen;Tilføjer en markise, der beskytter mod vind og vejr\nGør det muligt at ændre dens udseende;Legger til en markise som beskytter mot vær og vind\nGjør det mulig å endre utseendet;Bætir við skyggni sem ver gegn veðri og vindum\nGerir kleift að breyta útliti þess;Prideda stogelį, saugantį nuo vėjo ir lietaus\nLeidžia keisti jo išvaizdą;Az időjárástól védő napvitorlát ad hozzá\nLehetővé teszi a megjelenésének módosítását;Pridáva prístrešok, ktorý chráni pred nepriazňou počasia\nUmožňuje meniť jeho vzhľad;Adiciona um toldo que protege das intempéries\nPermite alterar o seu estilo;हवा और बारिश से बचाने वाला छज्जा जोड़ता है\nउसका रूप बदलने देता है;เพิ่มกันสาดที่ช่วยป้องกันลมฝน\nสามารถเปลี่ยนรูปแบบได้;Dodaje nadstrešnicu koja štiti od nevremena\nOmogućuje promjenu izgleda;ამატებს ტენტს, რომელიც ავდრისგან იცავს\nშესაძლებელს ხდის მისი იერსახის შეცვლას;Προσθέτει τέντα που προστατεύει από τις κακοκαιρίες\nΕπιτρέπει την αλλαγή της εμφάνισής της;Dodaje nadstrešnicu koja štiti od nevremena\nOmogućava promenu izgleda;Pievieno nojumi, kas pasargā no vēja un lietus\nĻauj mainīt tās izskatu
lu_part_mast_name;Mast;Мачта;Mast;Mástil;Stěžeň;Mast;Mât;マスト;돛대;Maszt;Mastro;Direk;Щогла;桅杆;桅杆;Mast;Albero;Catarg;Мачта;Јарбол;Masto;Mast;Mast;Mastri;Stiebas;Árbóc;Sťažeň;Mastro;मस्तूल;เสากระโดง;Jarbol;ანძა;Ιστός;Jarbol;Masts
lu_part_mast_enable;Raise;Поднять;Aufstellen;Montar;Vztyčit;Oprichten;Installer;立てる;세우기;Postaw;Colocar;Yükselt;Підняти;竖起;豎起;Res;Alza;Ridică;Вдигни;Подигни;Pystytä;Rejs;Reis;Reisa;Iškelti;Felállít;Vztyčiť;Içar;उठाएँ;ยกขึ้น;Podigni;აღმართვა;Σήκωσε;Podigni;Pacelt
lu_part_mast_disable;Remove;Убрать;Entfernen;Quitar;Odebrat;Verwijderen;Retirer;削除;제거;Usuń;Remover;Kaldır;Прибрати;移除;移除;Ta bort;Rimuovi;Elimină;Премахни;Отстрани;Poista;Fjern;Fjern;Fjarlægja;Pašalinti;Eltávolít;Odobrať;Remover;हटाएँ;ลบ;Ukloni;წაშლა;Αφαίρεση;Ukloni;Noņemt
lu_part_mast_upgrade;Adds a crossbeam for mounting the lantern and awning\nMakes the mast removable\nAllows you to change the sails' style;Добавляет поперечину для крепления фонаря и тента\nПозволяет снимать мачту\nПозволяет менять вид парусов;Fügt einen Querbalken zur Befestigung von Laterne und Markise hinzu\nMacht den Mast abnehmbar\nErlaubt es, das Aussehen der Segel zu ändern;Añade un travesaño para montar la linterna y el toldo\nPermite desmontar el mástil\nPermite cambiar el estilo de las velas;Přidává příčný nosník pro upevnění lucerny a přístřešku\nUmožňuje sejmout stěžeň\nUmožňuje měnit vzhled plachet;Voegt een dwarsbalk toe om de lantaarn en luifel te bevestigen\nMaakt de mast verwijderbaar\nMaakt het mogelijk de stijl van de zeilen te wijzigen;Ajoute une traverse pour fixer la lanterne et l’auvent\nRend le mât amovible\nPermet de changer le style des voiles;ランタンと天幕を取り付けるための横木を追加します\nマストを取り外せるようになります\n帆の外観を変更できます;랜턴과 차양을 달 수 있는 가로대를 추가합니다\n돛대를 분리할 수 있습니다\n돛의 모양을 바꿀 수 있습니다;Dodaje poprzeczną belkę do mocowania lampy i zadaszenia\nUmożliwia zdejmowanie masztu\nPozwala zmienić wygląd żagli;Adiciona uma viga transversal para prender a lanterna e o toldo\nTorna o mastro removível\nPermite mudar o estilo das velas;Feneri ve tenteyi bağlamak için bir travers ekler\nDireği sökülebilir hâle getirir\nYelkenlerin görünümünü değiştirmenizi sağlar;Додає поперечину для кріплення ліхтаря й тента\nДозволяє знімати щоглу\nДозволяє змінювати вигляд вітрил;添加一根用于安装灯笼和遮篷的横梁\n使桅杆可以拆卸\n可以更换船帆样式;新增一根用於安裝燈籠和遮篷的橫樑\n使桅杆可以拆卸\n可以更換船帆樣式;Lägger till en tvärbalk för att fästa lanternan och markisen\nGör masten avtagbar\nGör det möjligt att ändra seglens utseende;Aggiunge una traversa per fissare la lanterna e il tendalino\nRende l’albero rimovibile\nConsente di cambiare lo stile delle vele;Adaugă o traversă pentru prinderea felinarului și a copertinei\nFace catargul detașabil\nPermite schimbarea aspectului velelor;Добавя напречна греда за закрепване на фенера и навеса\nПрави мачтата подвижна\nПозволява да променяте вида на платната;Додава попречна греда за прицврстување на фенерот и настрешницата\nГо прави јарболот отстранлив\nОвозможува промена на изгледот на едрата;Lisää poikkipuun lyhdyn ja markiisin kiinnittämistä varten\nTekee mastosta irrotettavan\nMahdollistaa purjeiden ulkoasun vaihtamisen;Tilføjer en tværbjælke til montering af lanternen og markisen\nGør masten aftagelig\nGør det muligt at ændre sejlenes udseende;Legger til en tverrbjelke for å feste lykten og markisen\nGjør masten avtakbar\nGjør det mulig å endre seilenes utseende;Bætir við þverbita til að festa ljóskerið og skyggnið\nGerir mastrið aftakanlegt\nGerir kleift að breyta útliti seglanna;Prideda skersinę siją žibintui ir stogeliui pritvirtinti\nPadaro stiebą nuimamą\nLeidžia keisti burių išvaizdą;Keresztgerendát ad hozzá a lámpás és a napvitorla rögzítéséhez\nLeszerelhetővé teszi az árbócot\nLehetővé teszi a vitorlák megjelenésének módosítását;Pridáva priečny nosník na upevnenie lucerny a prístrešku\nUmožňuje odňať sťažeň\nUmožňuje meniť vzhľad plachiet;Adiciona uma viga transversal para fixar a lanterna e o toldo\nTorna o mastro amovível\nPermite alterar o estilo das velas;लालटेन और छज्जे को लगाने के लिए आड़ी बल्ली जोड़ता है\nमस्तूल को हटाने योग्य बनाता है\nपालों का रूप बदलने देता है;เพิ่มคานขวางสำหรับติดโคมไฟและกันสาด\nทำให้ถอดเสากระโดงได้\nสามารถเปลี่ยนรูปแบบใบเรือได้;Dodaje poprečnu gredu za pričvršćivanje fenjera i nadstrešnice\nOmogućuje uklanjanje jarbola\nOmogućuje promjenu izgleda jedara;ამატებს განივ ძელს ფარნისა და ტენტის დასამაგრებლად\nანძას მოსახსნელს ხდის\nშესაძლებელს ხდის იალქნების იერსახის შეცვლას;Προσθέτει εγκάρσια δοκό για τη στερέωση του φαναριού και της τέντας\nΚάνει τον ιστό αποσπώμενο\nΕπιτρέπει την αλλαγή της εμφάνισης των πανιών;Dodaje poprečnu gredu za pričvršćivanje fenjera i nadstrešnice\nOmogućava uklanjanje jarbola\nOmogućava promenu izgleda jedara;Pievieno šķērssiju laternas un nojumes piestiprināšanai\nPadara mastu noņemamu\nĻauj mainīt buru izskatu
lu_part_sail_name;Sail;Парус;Segel;Vela;Plachta;Zeil;Voile;帆;돛;Żagiel;Vela;Yelken;Вітрило;船帆;船帆;Segel;Vela;Velă;Платно;Едро;Purje;Sejl;Seil;Segl;Burė;Vitorla;Plachta;Vela;पाल;ใบเรือ;Jedro;იალქანი;Ιστίο;Jedro;Bura
lu_part_sail_switch;Change style;Изменить стиль;Stil ändern;Cambiar estilo;Změnit styl;Stijl wijzigen;Changer le style;スタイルを変更;스타일 변경;Zmień styl;Alterar estilo;Stili değiştir;Змінити стиль;更换样式;更換樣式;Ändra stil;Cambia stile;Schimbă stilul;Смени стила;Промени стил;Vaihda tyyli;Skift stil;Bytt stil;Breyta stíl;Keisti stilių;Stílus váltása;Zmeniť štýl;Mudar estilo;शैली बदलें;เปลี่ยนสไตล์;Promijeni stil;სტილის შეცვლა;Αλλαγή στυλ;Promeni stil;Mainīt stilu
lu_part_lamp_name;Lamp;Огонь;Licht;Lámpara;Oheň;Lamp;Lampe;ランプ;불;Lampa;Lâmpada;Ateş;Вогонь;提灯;提燈;Eld;Fuoco;Foc;Огън;Оган;Tuli;Ild;Ild;Eldur;Ugnis;Tűz;Oheň;Fogo;आग;ไฟ;Vatra;ცეცხლი;Φωτιά;Vatra;Uguns
lu_part_lamp_enable;Light;Зажечь;Anzünden;Encender;Zapálit;Aansteken;Allumer;点灯;점화;Zapal;Acender;Yak;Запалити;点亮;點亮;Tänd;Accendi;Aprinde;Запали;Запали;Sytytä;Tænd;Tenn;Kveikja;Uždegti;Gyújtsd meg;Zapáliť;Acender;जलाएँ;จุด;Zapali;ანთება;Άναψε;Upali;Aizdedzināt
lu_part_lamp_disable;Extinguish;Потушить;Löschen;Apagar;Uhasit;Doven;Éteindre;消す;끄기;Zgaś;Apagar;Söndür;Загасити;熄灭;熄滅;Släck;Spegni;Stinge;Загаси;Изгаси;Sammuta;Sluk;Slukk;Slökkva;Užgesinti;Oltsd el;Uhasiť;Apagar;बुझाएँ;ดับ;Ugasi;ჩაქრობა;Σβήσε;Ugasi;Nodzēst
lu_part_container_upgrade1;Expands storage width;Увеличивает ширину хранилища;Erweitert die Lagerbreite;Amplía el ancho de almacenamiento;Rozšiřuje šířku úložiště;Vergroot de opslagbreedte;Augmente la largeur du stockage;収納の幅を拡張します;보관함 너비를 확장합니다;Zwiększa szerokość magazynu;Expande a largura do armazenamento;Depolama genişliğini artırır;Збільшує ширину сховища;扩展存储宽度;擴展儲存寬度;Utökar lagrets bredd;Espande la larghezza del deposito;Extinde lățimea depozitului;Разширява ширината на склада;Ја зголемува ширината на складиштето;Laajentaa varaston leveyttä;Udvider lagerets bredde;Utvider lagerets bredde;Stækkar breidd geymslu;Išplečia saugyklos plotį;Növeli a tároló szélességét;Rozširuje šírku úložiska;Expande a largura do armazenamento;भंडारण की चौड़ाई बढ़ाता है;ขยายความกว้างของที่เก็บ;Proširuje širinu spremišta;ზრდის საცავის სიგანეს;Επεκτείνει το πλάτος αποθήκευσης;Proširuje širinu skladišta;Paplašina krātuves platumu
lu_part_container_upgrade2;Expands storage height;Увеличивает высоту хранилища;Erweitert die Lagerhöhe;Amplía la altura de almacenamiento;Rozšiřuje výšku úložiště;Vergroot de opslaghoogte;Augmente la hauteur du stockage;収納の高さを拡張します;보관함 높이를 확장합니다;Zwiększa wysokość magazynu;Expande a altura do armazenamento;Depolama yüksekliğini artırır;Збільшує висоту сховища;扩展存储高度;擴展儲存高度;Utökar lagrets höjd;Espande l’altezza del deposito;Extinde înălțimea depozitului;Разширява височината на склада;Ја зголемува висината на складиштето;Laajentaa varaston korkeutta;Udvider lagerets højde;Utvider lagerets høyde;Stækkar hæð geymslu;Išplečia saugyklos aukštį;Növeli a tároló magasságát;Rozširuje výšku úložiska;Expande a altura do armazenamento;भंडारण की ऊँचाई बढ़ाता है;ขยายความสูงของที่เก็บ;Proširuje visinu spremišta;ზრდის საცავის სიმაღლეს;Επεκτείνει το ύψος αποθήκευσης;Proširuje visinu skladišta;Paplašina krātuves augstumu
lu_part_hull_name;Hull;Корпус;Rumpf;Casco;Trup;Romp;Coque;船体;선체;Kadłub;Casco;Gövde;Корпус;船体;船體;Skrov;Scafo;Cocă;Корпус;Корпус;Runko;Skrog;Skrog;Skrokkur;Korpusas;Hajótest;Trup;Casco;जहाज़ का ढाँचा;ลำเรือ;Trup;კორპუსი;Κύτος;Trup;Korpuss
lu_part_hull_upgrade1;Increases durability\nAdds shields for extra protection\nAllows you to change the shields' style;Увеличивает прочность\nДобавляет щиты для дополнительной защиты\nПозволяет менять стиль щитов;Erhöht die Haltbarkeit\nFügt Schilde für zusätzlichen Schutz hinzu\nErlaubt das Ändern des Schildstils;Aumenta la durabilidad\nAgrega escudos para protección adicional\nPermite cambiar el estilo de los escudos;Zvyšuje odolnost\nPřidává štíty pro dodatečnou ochranu\nUmožňuje změnit styl štítů;Verhoogt de duurzaamheid\nVoegt schilden toe voor extra bescherming\nMaakt het mogelijk de schildstijl te wijzigen;Augmente la durabilité\nAjoute des boucliers pour une protection supplémentaire\nPermet de changer le style des boucliers;耐久力を増加\n追加防御としてシールドを追加\nシールドのスタイルを変更できます;내구도를 증가시킵니다\n추가 보호를 위한 방패를 추가합니다\n방패 스타일을 변경할 수 있습니다;Zwiększa wytrzymałość\nDodaje tarcze dla dodatkowej ochrony\nPozwala zmienić wygląd tarcz;Aumenta a durabilidade\nAdiciona escudos para proteção extra\nPermite alterar o estilo dos escudos;Dayanıklılığı artırır\nEk koruma için kalkanlar ekler\nKalkan stilini değiştirmenizi sağlar;Збільшує міцність\nДодає щити для додаткового захисту\nДозволяє змінювати стиль щитів;增加耐久度\n添加盾牌以提供额外防护\n允许更换盾牌样式;增加耐久度\n新增盾牌以提供額外防護\n允許更換盾牌樣式;Ökar hållbarheten\nLägger till sköldar för extra skydd\nGör det möjligt att ändra sköldarnas stil;Aumenta la durabilità\nAggiunge scudi per una protezione extra\nPermette di cambiare lo stile degli scudi;Crește durabilitatea\nAdaugă scuturi pentru protecție suplimentară\nPermite schimbarea stilului scuturilor;Увеличава издръжливостта\nДобавя щитове за допълнителна защита\nПозволява да смените стила на щитовете;Ја зголемува издржливоста\nДодава штитови за дополнителна заштита\nОвозможува промена на стилот на штитовите;Lisää kestävyyttä\nLisää kilpiä lisäsuojaksi\nMahdollistaa kilpien tyylin vaihtamisen;Øger holdbarheden\nTilføjer skjolde for ekstra beskyttelse\nGør det muligt at ændre skjoldenes stil;Øker holdbarheten\nLegger til skjold for ekstra beskyttelse\nGjør det mulig å endre skjoldstilen;Eykur endingu\nBætir við skjöldum fyrir aukna vernd\nGerir kleift að breyta stíl skjaldanna;Padidina patvarumą\nPrideda skydus papildomai apsaugai\nLeidžia keisti skydų stilių;Növeli a tartósságot\nPajzsokat ad hozzá extra védelemhez\nLehetővé teszi a pajzsok stílusának váltását;Zvyšuje odolnosť\nPridáva štíty pre dodatočnú ochranu\nUmožňuje zmeniť štýl štítov;Aumenta a durabilidade\nAdiciona escudos para proteção extra\nPermite alterar o estilo dos escudos;टिकाऊपन बढ़ाता है\nअतिरिक्त सुरक्षा के लिए ढालें जोड़ता है\nढालों की शैली बदलने देता है;เพิ่มความทนทาน\nเพิ่มโล่เพื่อการป้องกันเพิ่มเติม\nสามารถเปลี่ยนสไตล์โล่ได้;Povećava izdržljivost\nDodaje štitove za dodatnu zaštitu\nOmogućuje promjenu stila štitova;ზრდის გამძლეობას\nამატებს ფარებს დამატებითი დაცვისთვის\nსაშუალებას აძლევს ფარების სტილის შეცვლას;Αυξάνει την αντοχή\nΠροσθέτει ασπίδες για επιπλέον προστασία\nΕπιτρέπει αλλαγή στυλ ασπίδων;Povećava izdržljivost\nDodaje štitove za dodatnu zaštitu\nOmogućava promenu stila štitova;Palielina izturību\nPievieno vairogus papildu aizsardzībai\nĻauj mainīt vairogu stilu
lu_part_hull_upgrade2;Increases durability by $1;Увеличивает прочность на $1;Erhöht Haltbarkeit um $1;Aumenta la durabilidad en $1;Zvyšuje odolnost o $1;Verhoogt duurzaamheid met $1;Augmente la durabilité de $1;耐久力が $1 増加;내구도 $1 증가;Zwiększa wytrzymałość o $1;Aumenta a durabilidade em $1;Dayanıklılığı $1 artırır;Збільшує міцність на $1;增加$1点耐久度;增加 $1 點耐久度;Ökar hållbarheten med $1;Aumenta la durabilità di $1;Crește durabilitatea cu $1;Увеличава издръжливостта с $1;Ја зголемува издржливоста за $1;Lisää kestävyyttä $1;Øger holdbarheden med $1;Øker holdbarheten med $1;Eykur endingu um $1;Padidina patvarumą $1;Növeli a tartósságot $1 értékkel;Zvyšuje odolnosť o $1;Aumenta a durabilidade em $1;टिकाऊपन $1 बढ़ाता है;เพิ่มความทนทาน $1;Povećava izdržljivost za $1;ზრდის გამძლეობას $1-ით;Αυξάνει την αντοχή κατά $1;Povećava izdržljivost za $1;Palielina izturību par $1
lu_part_hull_upgrade2_ashlands;Protects the hull from the boiling seas of the Ashlands;Защищает корпус от кипящих вод Пепельных земель;Schützt den Schiffsrumpf vor den brodelnden Gewässern der Aschenlande;Protege el casco de las aguas hirvientes de Tierra de Ceniza;Chrání trup před vroucími vodami Země Popelu;Beschermt de romp tegen de kokende zee rond de Ashlands;Protège la coque des eaux bouillonnantes des Terres de cendres;灰の地の煮えたぎる海から船体を守ります;잿가루 지대의 끓는 바다로부터 선체를 보호합니다;Chroni kadłub przed wrzącymi wodami Ziem Popiołów;Protege o casco das águas ferventes das Terras Cinzentas;Gövdeyi Kül Diyarı'nın kaynayan sularından korur;Захищає корпус від киплячих вод Попелистих земель;保护船体免受灰烬之地沸腾海水的侵蚀;保護船體免受灰燼之地沸騰海水的侵蝕;Skyddar skrovet mot Asklands kokande hav;Protegge lo scafo dalle acque bollenti delle Lande desolate;Protejează coca de apele clocotite ale Tărâmurilor de cenușă;Пази корпуса от врящите води на Пепелището;Го штити корпусот од зовриените води на Пепелните земји;Suojaa runkoa Tuhkamaiden kiehuvilta vesiltä;Beskytter skroget mod Askelands kogende farvande;Beskytter skroget mot Askelands kokende farvann;Verndar skrokkinn gegn sjóðandi höfum Asklands;Saugo korpusą nuo verdančių Pelenžemių vandenų;Megvédi a hajótestet Hamuvidék forrongó vizeitől;Chráni trup pred vriacimi vodami Popolavých zemí;Protege o casco das águas ferventes das Terras de Cinza;जहाज़ के ढाँचे को राख की भूमि के उबलते समुद्र से बचाता है;ปกป้องลำเรือจากทะเลเดือดแห่งดินแดนเถ้าถ่าน;Štiti trup od kipućih voda Zemalja pepela;იცავს კორპუსს ფერფლის მიწების მდუღარე წყლებისგან;Προστατεύει το κύτος από τις βραστές θάλασσες των Χωρών της Στάχτης;Štiti trup od ključalih voda Zemalja pepela;Aizsargā korpusu no Pīšļulauku verdošajiem ūdeņiem
